"year","avg_home_team_score","avg_visitor_team_score","avg_fgm","avg_fga","avg_fg3m","avg_fg3a","avg_ftm","avg_fta","avg_reb","avg_ast","avg_stl","avg_blk","avg_turnover","avg_pf","avg_pts"
"2010","101.5382286146858441","98.6040878122634368","3.1116591062888334","6.7635068995229282","0.54763224120776041262","1.52530985372459223020","1.56714269981080368524","2.06116030882413399011","3.4599980203890285","1.77415600214550285312","0.60102246424433173610","0.40359914252222450886","1.12535609488099367507","1.74281470901587414040","8.3380931535962310"
"2011","100.5627118644067797","97.5062146892655367","3.0838001917021814","6.7408833702938346","0.52969943411210913081","1.49464486598311211384","1.53939205844511666260","2.01223410111545704791","3.4356837950389903","1.77006851234412030139","0.60619614316740330041","0.40545410628019323671","1.10613881631346627611","1.70979451450048354998","8.2366918759615886"
"2012","98.0495251017639077","94.9382632293080054","2.8456773061570714","6.3628418739627518","0.51643963032730657054","1.47018768834649903570","1.32086778809258309035","1.75183969800762320290","3.2918525137860280","1.64367711286019940447","0.60179985977136587733","0.40493179695498142790","1.08505106330883571182","1.53819207098571147826","7.5286620307340324"
"2013","100.1827794561933535","97.4040785498489426","2.9113744834241025","6.4252975805555275","0.57251545517619995490","1.59867876978313074614","1.32437938058045111728","1.76099779560603151794","3.3111243040750134","1.71459978629671917437","0.60482321063497997689","0.38815973099320662699","1.09850886809674409814","1.57770245396706712995","7.7196438026048561"
"2014","102.3848462115528882","99.7816954238559640","2.9533014098581833","6.4888453069839305","0.61213122196536528388","1.71430958489433785950","1.40620139079816978759","1.86127644429166101086","3.3322517936436889","1.72108111117709105420","0.59268487921662404568","0.36488890070150154992","1.07516190349563334758","1.63839199302579214014","7.9249354324799017"
"2015","101.5367702805155421","98.9681576952236543","2.9302227866664034","6.5681408783915624","0.63452905135223756060","1.81714353197245375046","1.34700713901425903219","1.79550404466678323644","3.4248286152846591","1.71775277435362479925","0.61645472813864546738","0.38250723985420890191","1.08383151679275224738","1.57538061094197165772","7.8419817636993033"
"2016","105.3758439609902476","102.1912978244561140","3.0092405854157705","6.6362236717670685","0.70272874563865789974","1.97466410684796803194","1.38705561795502758961","1.82380298716447971102","3.4126700478538438","1.74421324952196800602","0.60471091899693615349","0.38419037730447104530","1.04863530496150607715","1.57975700725627337623","8.1082655344252265"
"2017","107.2821083890126206","104.5077951002227171","3.0794660453970999","6.6973338697711701","0.79134842181370698859","2.1947566472777086","1.36957830652611324743","1.77579128326780113241","3.3937378751027439","1.78607728939771159214","0.60394132512850436746","0.37047889367875811180","1.06520746761281282502","1.56922219249177707526","8.3198588191340201"
"2018","109.6291793313069909","106.9088145896656535","3.2023819918304192","6.9615780735692854","0.85500906197136539403","2.3991866761223838","1.36158325301826689496","1.77783790326574785380","3.5204549080531967","1.88885545686540136109","0.61534750252488457852","0.39432236443106008323","1.08493240147148565372","1.62948171885845336249","8.6213562986504707"
"2019","112.3766025641025641","109.7964743589743590","3.2580106439436972","7.1148570820358578","0.93990585613257584271","2.6413867245396348","1.41320870854564716310","1.83551430753825877871","3.6120931596707874","1.95596826070843897612","0.60170534060962399269","0.39338647135720755600","1.08192242536948804453","1.65325384976018672781","8.8691358525656174"
"2020","113.3748231966053748","111.9137199434229137","3.2347557346733130","6.9707525233868860","0.98872891128264679157","2.7382723760517970","1.43496671217423906761","1.84865209426934752262","3.5021187837814964","1.9357603712513704","0.59839830283337755224","0.37249624883809117713","1.07859865923713685222","1.64629089003074570595","8.8932070928035119"
"2021","110.6264705882352941","109.0823529411764706","3.0327422491096725","6.5916653025634789","0.93530428358054353253","2.6042103411441328","1.24326647355795925914","1.60315174999460829688","3.3263920742495875","1.81283203274497668291","0.56822811793525595909","0.36691604876499273385","0.98841148703736807123","1.44733288489940893335","8.2440552553578478"
"2022","113.5981873111782477","111.2824773413897281","2.9128763868534049","6.2238020042733508","0.88031261303544568059","2.4635567179519514","1.26900859284818882138","1.63253221602731208080","3.1037019407515115","1.76902910493370787041","0.52696774049686342000","0.32751969458851836952","0.93895158586039788108","1.43502363111788956529","7.9750739795904443"
"2023","115.8875968992248062","113.7157622739018088","2.5622606648107255","5.3802984920327596","0.75193073775611936784","2.0802758418085757","1.11230802678809837716","1.41771814899542983600","2.6406238572068902","1.54875887082077257835","0.43955588520812293794","0.28140383325944897626","0.78147182958276229857","1.19178153648894178509","6.9887600941656687"
